title,content,credibility_label
Government launches digital scholarship portal for students - Report 1,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 2,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 3,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 4,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 5,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 6,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 7,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 8,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 9,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 10,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 11,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 12,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 13,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 14,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 15,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 16,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 17,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 18,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 19,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 20,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 21,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 22,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 23,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 24,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 25,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 26,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 27,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 28,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 29,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 30,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 31,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 32,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 33,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 34,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 35,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 36,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 37,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
Unknown website says all banks will shut down tomorrow - Report 38,The anonymous article urges panic and provides no official banking source.,Potentially Misleading
Researchers announce preliminary water purification technology - Report 39,The prototype is undergoing laboratory testing and independent evaluation.,Needs Verification
Regional sports authority opens training centre - Report 40,The authority published registration details through official channels.,Likely Reliable
Government launches digital scholarship portal for students - Report 41,The education department announced an official online scholarship portal with published eligibility rules.,Likely Reliable
Scientists report progress in battery recycling research - Report 42,Researchers published preliminary findings that require further independent validation.,Needs Verification
Celebrity claims one fruit cures every disease - Report 43,The viral article makes extraordinary medical claims without clinical evidence or reliable sources.,Potentially Misleading
Social media post says moon will disappear for three days - Report 44,No credible astronomical organization supports the viral claim.,Potentially Misleading
City announces new public electric bus route - Report 45,Municipal officials released a statement about a pilot service subject to final schedules.,Likely Reliable
