title,content,category,credibility_label,notes
Scientists Develop Low-Cost Water Purification Filter,A university research team announced a prototype filter designed to remove common contaminants from drinking water. The device is currently undergoing laboratory testing and independent evaluation.,Science,Needs Verification,Synthetic demo article based on a hypothetical research announcement.
Government Launches Digital Scholarship Portal,The education department introduced an online portal intended to simplify scholarship applications. Students are advised to verify eligibility and deadlines through official notifications.,Education,Likely Reliable,Synthetic demo article.
Celebrity Claims Eating One Fruit Cures Every Disease,A viral post claims that consuming a single fruit can cure all major diseases without medical treatment. The article provides no clinical evidence or reliable scientific references.,Health,Potentially Misleading,Synthetic misinformation example.
City Announces New Public Electric Bus Route,"Municipal officials said a pilot electric bus route will begin service next month, subject to final operational approvals and published schedules.",Local,Needs Verification,Synthetic demo article.
Researchers Report Progress in Battery Recycling,A research group reported improved methods for recovering useful materials from used batteries. The findings require peer review and larger-scale validation.,Technology,Needs Verification,Synthetic demo article.
Social Media Post Says Moon Will Disappear for Three Days,A widely shared post claims the moon will disappear completely for three days due to a secret astronomical event. No credible astronomical organization supports the claim.,Science,Potentially Misleading,Synthetic misinformation example.
New Sports Training Centre Opens for Young Athletes,A regional sports authority announced the opening of a training centre for student athletes. Registration details are expected to be released through official channels.,Sports,Likely Reliable,Synthetic demo article.
Unknown Website Claims Banks Will Shut Down Tomorrow,An anonymous website claims all banks will permanently close tomorrow and urges readers to withdraw money immediately. The article cites no official banking authority.,Business,Potentially Misleading,Synthetic misinformation example.
Startup Introduces AI Tool for Crop Disease Detection,A technology startup presented an AI-based prototype intended to identify visible signs of crop disease from images. Field accuracy results have not yet been independently verified.,Technology,Needs Verification,Synthetic demo article.
Article Claims Drinking Hot Water Changes Human DNA,A viral article states that drinking hot water permanently changes human DNA and prevents aging. The story provides no scientific evidence for the claim.,Health,Potentially Misleading,Synthetic misinformation example.
YO G News Demo Article 11: Technology Update,A company announced a new software platform and published technical details through its official communication channels.,Technology,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 12: Science Update,Researchers reported preliminary findings that require independent replication before strong conclusions can be made.,Science,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 13: Education Update,An institution published a new academic initiative with eligibility information and implementation timelines.,Education,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 14: Sports Update,Officials announced an upcoming sporting event and advised fans to confirm schedules through official organizers.,Sports,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 15: Business Update,"Market reports suggest a possible industry trend, although the available data remains limited.",Business,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 16: Health Update,A viral article promotes an extraordinary health claim without citing clinical trials or recognized medical evidence.,Health,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 17: World Update,"Breaking reports describe an international development, but full details are still emerging from multiple sources.",World,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 18: Entertainment Update,A social media rumor makes an unsupported claim about a public figure and provides no verifiable evidence.,Entertainment,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 19: Local Update,A local authority published an announcement regarding a public service improvement.,Local,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 20: Politics Update,"A political claim is being widely discussed, but readers should compare statements with primary documents and independent reporting.",Politics,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 21: Technology Update,A company announced a new software platform and published technical details through its official communication channels.,Technology,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 22: Science Update,Researchers reported preliminary findings that require independent replication before strong conclusions can be made.,Science,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 23: Education Update,An institution published a new academic initiative with eligibility information and implementation timelines.,Education,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 24: Sports Update,Officials announced an upcoming sporting event and advised fans to confirm schedules through official organizers.,Sports,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 25: Business Update,"Market reports suggest a possible industry trend, although the available data remains limited.",Business,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 26: Health Update,A viral article promotes an extraordinary health claim without citing clinical trials or recognized medical evidence.,Health,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 27: World Update,"Breaking reports describe an international development, but full details are still emerging from multiple sources.",World,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 28: Entertainment Update,A social media rumor makes an unsupported claim about a public figure and provides no verifiable evidence.,Entertainment,Potentially Misleading,Synthetic starter data created for project development and testing.
YO G News Demo Article 29: Local Update,A local authority published an announcement regarding a public service improvement.,Local,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 30: Politics Update,"A political claim is being widely discussed, but readers should compare statements with primary documents and independent reporting.",Politics,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 31: Technology Update,A company announced a new software platform and published technical details through its official communication channels.,Technology,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 32: Science Update,Researchers reported preliminary findings that require independent replication before strong conclusions can be made.,Science,Needs Verification,Synthetic starter data created for project development and testing.
YO G News Demo Article 33: Education Update,An institution published a new academic initiative with eligibility information and implementation timelines.,Education,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 34: Sports Update,Officials announced an upcoming sporting event and advised fans to confirm schedules through official organizers.,Sports,Likely Reliable,Synthetic starter data created for project development and testing.
YO G News Demo Article 35: Business Update,"Market reports suggest a possible industry trend, although the available data remains limited.",Business,Needs Verification,Synthetic starter data created for project development and testing.
